Sno,"Party Name","Party Account no","Party Bank Name","Party Bank Branch","Party Bank Ifsc Code","Party Amount"
1,"Medical Superintendent"," Area Hospital"," Kadiri"," Ananthapur",030110011006880,"Andhra Bank"," ","Kadiri ",ANDB0000301,556258
30,"Medical Superintendent","  Area Hospital"," Kandukur"," Prakasam",030410011097160,"Andhra Bank"," "," Kandukur",ANDB0000304,463756
31,Suptd.,"DSR Govt.Hospital"," Nellore",34650177941,"State Bank of India"," ","Vedayapalem Branch Nellore",SBIN0007457,3133731
32,"Medical Superintendent","  Area Hospital"," Gudur"," Nellore",014710011010767,"Andhra Bank"," "," Gudur",ANDB0000147,397724
33,"Medical Superintendent","  Area Hospital"," Kavali"," Nellore",30910100043525,"Andhra Bank"," "," Gudur",ANDB0000309,420749
34,"Medical Superintendent","  District Hospital"," Chittoor"," Chittoor",008110011011176,"Andhra Bank"," "," Main BranchDistrict Hospital Chittoor",ANDB0000081,2057891
35,"Medical Superintendent","  Area Hospital"," Kuppam"," Chittoor",059810011000919,"Andhra Bank"," "," Kuppam",ANDB0000598,840991
36,"Medical Superintendent","  Area Hospital"," Madanapalli"," Chittoor",037010011007292,"Andhra Bank"," "," Madanapalli",ANDB0000370,913112
37,"Medical Superintendent","  Area Hospital"," Srikalahasti"," Chittoor",051410011006278,"Andhra Bank"," "," Srikalahasti",ANDB0000514,921693
38,"Medical Superintendent","  Area Hospital"," Chandragiri"," Chittoor",102610011003729,"Andhra Bank"," "," Chandragiri","ANDB 0001026",917196
39,"Medical Superintendent","  Area Hospital"," Palamaner"," Chittoor",11137525251,"State Bank of India"," ","SBI Palamaner",SBIN00000266,952079
40,"Medical Superintendent","  Area Hospital"," Pulivendula"," Kadapa",045210011010781,"Andhra Bank",,Pulivendula,ANDB0000452,475546
41,"Medical Superintendent","  District Hospital"," Proddatur"," Kadapa",043710011009014,"Andhra Bank"," "," Proddatur",ANDB0000437,1136730
42,MD," APMSIDC"," Hyderabad",142410011000314,"Andhra Bank"," "," Kendriya sadan Branch. Hyderabad",ANDB0001424,2243330
